thread_num,zipf,rw_ratio,txn_num_ops,ops_per_iter,mode,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1,0.0000001,0.5,20,1000000,Random,947832,0,0,0,0,9975,124,0
1,0.0000001,0.5,20,1000000,Random,939402,0,0,0,0,9974,123,0
1,0.0000001,0.5,20,1000000,Random,948818,0,0,0,0,9975,124,0
1,0.11111120000000001,0.5,20,1000000,Random,951058,0,0,0,0,9974,124,0
1,0.11111120000000001,0.5,20,1000000,Random,950321,0,0,0,0,9975,124,0
1,0.11111120000000001,0.5,20,1000000,Random,827955,0,0,0,0,9978,108,0
1,0.2222223,0.5,20,1000000,Random,868880,0,0,0,0,9977,114,0
1,0.2222223,0.5,20,1000000,Random,954531,0,0,0,0,9975,125,0
1,0.2222223,0.5,20,1000000,Random,851010,0,0,0,0,9977,111,0
1,0.3333334,0.5,20,1000000,Random,959951,0,0,0,0,9975,126,0
1,0.3333334,0.5,20,1000000,Random,956333,0,0,0,0,9974,125,0
1,0.3333334,0.5,20,1000000,Random,888349,0,0,0,0,9976,116,0
1,0.4444445,0.5,20,1000000,Random,973439,0,0,0,0,9974,127,0
1,0.4444445,0.5,20,1000000,Random,968545,0,0,0,0,9974,127,0
1,0.4444445,0.5,20,1000000,Random,971185,0,0,0,0,9974,127,0
1,0.5555555999999999,0.5,20,1000000,Random,984720,0,0,0,0,9973,129,0
1,0.5555555999999999,0.5,20,1000000,Random,990144,0,0,0,0,9973,130,0
1,0.5555555999999999,0.5,20,1000000,Random,983014,0,0,0,0,9973,129,0
1,0.6666667,0.5,20,1000000,Random,1015143,0,0,0,0,9973,133,0
1,0.6666667,0.5,20,1000000,Random,851761,0,0,0,0,9971,111,0
1,0.6666667,0.5,20,1000000,Random,1017939,0,0,0,0,9973,133,0
1,0.7777778,0.5,20,1000000,Random,1059196,0,0,0,0,9972,138,0
1,0.7777778,0.5,20,1000000,Random,996724,0,0,0,0,9974,130,0
1,0.7777778,0.5,20,1000000,Random,1000703,0,0,0,0,9973,131,0
1,0.8888889,0.5,20,1000000,Random,1115985,0,0,0,0,9969,145,0
1,0.8888889,0.5,20,1000000,Random,1102178,0,0,0,0,9970,143,0
1,0.8888889,0.5,20,1000000,Random,1113295,0,0,0,0,9969,144,0
1,1,0.5,20,1000000,Random,1194435,0,0,0,0,9969,150,0
1,1,0.5,20,1000000,Random,1187877,0,0,0,0,9969,149,0
1,1,0.5,20,1000000,Random,1189225,0,0,0,0,9967,150,0
48,0.0000001,0.5,20,1000000,Random,32409700,124313,0,0,0,9983,162,0
48,0.0000001,0.5,20,1000000,Random,32894096,126466,0,0,0,9983,226,0
48,0.0000001,0.5,20,1000000,Random,32590670,125595,0,0,0,9983,186,0
48,0.11111120000000001,0.5,20,1000000,Random,33184869,130215,0,0,0,9984,264,0
48,0.11111120000000001,0.5,20,1000000,Random,32481179,127561,0,0,0,9983,171,0
48,0.11111120000000001,0.5,20,1000000,Random,32837907,129578,0,0,0,9982,218,0
48,0.2222223,0.5,20,1000000,Random,32501564,136044,0,0,0,9983,174,0
48,0.2222223,0.5,20,1000000,Random,33033536,138537,0,0,0,9982,244,0
48,0.2222223,0.5,20,1000000,Random,32812102,137424,0,0,0,9982,215,0
48,0.3333334,0.5,20,1000000,Random,32631436,166323,0,0,0,9982,191,0
48,0.3333334,0.5,20,1000000,Random,32794224,167217,0,0,0,9982,212,0
48,0.3333334,0.5,20,1000000,Random,32719179,166361,0,0,0,9982,203,0
48,0.4444445,0.5,20,1000000,Random,32623779,281533,0,0,0,9982,190,0
48,0.4444445,0.5,20,1000000,Random,32797147,283699,0,0,0,9982,213,0
48,0.4444445,0.5,20,1000000,Random,32176015,275497,0,0,0,9982,131,0
48,0.5555555999999999,0.5,20,1000000,Random,32564832,889576,0,0,0,9982,182,0
48,0.5555555999999999,0.5,20,1000000,Random,32084126,877952,0,0,0,9983,119,0
48,0.5555555999999999,0.5,20,1000000,Random,32091367,876206,0,0,0,9984,120,0
48,0.6666667,0.5,20,1000000,Random,28453615,4044681,0,0,0,9986,97,0
48,0.6666667,0.5,20,1000000,Random,28126954,3916455,0,0,0,9985,54,0
48,0.6666667,0.5,20,1000000,Random,29266911,4093542,0,0,0,9986,203,0
48,0.7777778,0.5,20,1000000,Random,20075047,14038125,0,0,0,9989,359,0
48,0.7777778,0.5,20,1000000,Random,20337320,14131849,0,0,0,9989,394,0
48,0.7777778,0.5,20,1000000,Random,20824988,14347284,0,0,0,9989,3,0
48,0.8888889,0.5,20,1000000,Random,8141226,26582361,0,0,0,9996,154,0
48,0.8888889,0.5,20,1000000,Random,8383311,27296073,0,0,0,9996,185,0
48,0.8888889,0.5,20,1000000,Random,8292227,26968775,0,0,0,9999,173,0
48,1,0.5,20,1000000,Random,1689431,25131962,0,0,0,10000,194,0
48,1,0.5,20,1000000,Random,1649371,24499181,0,0,0,9999,211,0
48,1,0.5,20,1000000,Random,1656204,24583034,0,0,0,10000,190,0
