thread_num,zipf,rw_ratio,txn_num_ops,ops_per_iter,mode,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1,0.0000001,0.5,20,1000000,Random,841484,0,0,0,0,9978,110,89
1,0.0000001,0.5,20,1000000,Random,776541,0,0,0,0,9974,102,82
1,0.0000001,0.5,20,1000000,Random,870102,0,0,0,0,9976,114,92
1,0.11111120000000001,0.5,20,1000000,Random,817881,0,0,0,0,9977,107,86
1,0.11111120000000001,0.5,20,1000000,Random,877805,0,0,0,0,9977,115,93
1,0.11111120000000001,0.5,20,1000000,Random,881361,0,0,0,0,9976,115,93
1,0.2222223,0.5,20,1000000,Random,882708,0,0,0,0,9977,115,93
1,0.2222223,0.5,20,1000000,Random,886455,0,0,0,0,9976,116,93
1,0.2222223,0.5,20,1000000,Random,880675,0,0,0,0,9977,115,93
1,0.3333334,0.5,20,1000000,Random,889116,0,0,0,0,9976,116,94
1,0.3333334,0.5,20,1000000,Random,889636,0,0,0,0,9976,116,94
1,0.3333334,0.5,20,1000000,Random,814130,0,0,0,0,9978,106,86
1,0.4444445,0.5,20,1000000,Random,901959,0,0,0,0,9976,118,95
1,0.4444445,0.5,20,1000000,Random,902620,0,0,0,0,9975,118,95
1,0.4444445,0.5,20,1000000,Random,896911,0,0,0,0,9976,117,95
1,0.5555555999999999,0.5,20,1000000,Random,921657,0,0,0,0,9976,121,97
1,0.5555555999999999,0.5,20,1000000,Random,930457,0,0,0,0,9975,122,98
1,0.5555555999999999,0.5,20,1000000,Random,920072,0,0,0,0,9976,120,97
1,0.6666667,0.5,20,1000000,Random,954744,0,0,0,0,9974,125,101
1,0.6666667,0.5,20,1000000,Random,965876,0,0,0,0,9973,126,102
1,0.6666667,0.5,20,1000000,Random,906293,0,0,0,0,9975,119,96
1,0.7777778,0.5,20,1000000,Random,948589,0,0,0,0,9975,124,100
1,0.7777778,0.5,20,1000000,Random,1016118,0,0,0,0,9973,133,107
1,0.7777778,0.5,20,1000000,Random,1008704,0,0,0,0,9973,132,106
1,0.8888889,0.5,20,1000000,Random,1076502,0,0,0,0,9972,140,113
1,0.8888889,0.5,20,1000000,Random,1077792,0,0,0,0,9971,140,113
1,0.8888889,0.5,20,1000000,Random,1059389,0,0,0,0,9971,137,111
1,1,0.5,20,1000000,Random,1088893,0,0,0,0,9970,137,110
1,1,0.5,20,1000000,Random,1167524,0,0,0,0,9968,147,118
1,1,0.5,20,1000000,Random,1178371,0,0,0,0,9969,148,119
48,0.0000001,0.5,20,1000000,Random,30701221,134889,0,0,0,9984,393,67
48,0.0000001,0.5,20,1000000,Random,30586428,134489,0,0,0,9984,377,55
48,0.0000001,0.5,20,1000000,Random,30091230,132349,0,0,0,9984,312,2
48,0.11111120000000001,0.5,20,1000000,Random,30547825,136103,0,0,0,9984,372,51
48,0.11111120000000001,0.5,20,1000000,Random,29671605,132203,0,0,0,9984,257,413
48,0.11111120000000001,0.5,20,1000000,Random,29938361,133637,0,0,0,9984,292,441
48,0.2222223,0.5,20,1000000,Random,30050568,144361,0,0,0,9984,307,453
48,0.2222223,0.5,20,1000000,Random,30726671,147710,0,0,0,9984,396,70
48,0.2222223,0.5,20,1000000,Random,30183776,145790,0,0,0,9985,325,12
48,0.3333334,0.5,20,1000000,Random,30598105,178981,0,0,0,9985,379,56
48,0.3333334,0.5,20,1000000,Random,30914665,181127,0,0,0,9984,421,90
48,0.3333334,0.5,20,1000000,Random,30625149,178719,0,0,0,9984,383,59
48,0.4444445,0.5,20,1000000,Random,31003280,308549,0,0,0,9984,432,99
48,0.4444445,0.5,20,1000000,Random,30372700,301684,0,0,0,9986,349,32
48,0.4444445,0.5,20,1000000,Random,30601529,305164,0,0,0,9986,379,56
48,0.5555555999999999,0.5,20,1000000,Random,30132478,949163,0,0,0,9987,318,7
48,0.5555555999999999,0.5,20,1000000,Random,30289930,959278,0,0,0,9983,338,23
48,0.5555555999999999,0.5,20,1000000,Random,30172153,952922,0,0,0,9985,323,11
48,0.6666667,0.5,20,1000000,Random,26362287,4268698,0,0,0,9987,277,62
48,0.6666667,0.5,20,1000000,Random,26958897,4258508,0,0,0,9986,355,125
48,0.6666667,0.5,20,1000000,Random,26620824,4291356,0,0,0,9986,311,89
48,0.7777778,0.5,20,1000000,Random,19900942,15810098,0,0,0,9990,337,286
48,0.7777778,0.5,20,1000000,Random,19632765,15523140,0,0,0,9989,302,258
48,0.7777778,0.5,20,1000000,Random,19892258,15724458,0,0,0,9989,336,285
48,0.8888889,0.5,20,1000000,Random,8108435,31478569,0,0,0,9996,150,400
48,0.8888889,0.5,20,1000000,Random,8072845,31147459,0,0,0,9996,146,396
48,0.8888889,0.5,20,1000000,Random,8201499,31596880,0,0,0,9995,163,410
48,1,0.5,20,1000000,Random,1415815,25559755,0,0,0,10000,163,132
48,1,0.5,20,1000000,Random,1444614,26270120,0,0,0,10000,167,134
48,1,0.5,20,1000000,Random,1449713,26070001,0,0,0,10000,167,135
