thread_num,wh_num,success,abort,total_time
1, 1, 197338,0,0, 0, 10000
1, 1, 198430,0,0, 0, 10000
1, 1, 203510,0,0, 0, 10000
1, 1, 178692,0,0, 0, 10000
1, 1, 200758,0,0, 0, 10002
4, 2, 688266,237712,0, 0, 10000
4, 2, 686527,231268,0, 0, 10000
4, 2, 677894,236250,0, 0, 10000
4, 2, 634112,210856,0, 0, 10000
4, 2, 684772,233722,0, 0, 10000
8, 4, 1130051,481450,0, 0, 10000
8, 4, 1162581,451298,0, 0, 10000
8, 4, 1109977,454592,0, 0, 10000
8, 4, 1157806,482838,0, 0, 10000
8, 4, 1163610,479197,0, 0, 10000
16, 8, 1736005,672346,0, 0, 10000
16, 8, 1733390,702672,0, 0, 10000
16, 8, 1654221,687758,0, 0, 10000
16, 8, 1704284,597290,0, 0, 10000
16, 8, 1519319,617750,0, 0, 10000
32, 16, 1183718,1070841,0, 0, 10006
32, 16, 1657067,935982,0, 0, 10002
32, 16, 1468874,1114663,0, 0, 10001
32, 16, 1193386,1090404,0, 0, 10001
32, 16, 1196946,1254666,0, 0, 10005
64, 32, 761353,1724160,0, 0, 10004
64, 32, 760650,1551297,0, 0, 10006
64, 32, 833074,1682695,0, 0, 10003
64, 32, 777257,1666253,0, 0, 10004
64, 32, 753952,1568671,0, 0, 10010
1, 1, 183527,0,0, 0, 10000
1, 1, 223413,0,0, 0, 10000
1, 1, 195682,0,0, 0, 10000
1, 1, 181207,0,0, 0, 10000
1, 1, 178823,0,0, 0, 10000
4, 4, 618826,88362,0, 0, 10000
4, 4, 619438,87279,0, 0, 10000
4, 4, 588150,84510,0, 0, 10000
4, 4, 620295,87884,0, 0, 10000
4, 4, 600031,88778,0, 0, 10000
8, 8, 1052369,51130,0, 0, 10000
8, 8, 1089392,54724,0, 0, 10000
8, 8, 1053853,52621,0, 0, 10000
8, 8, 1052320,52965,0, 0, 10000
8, 8, 1054555,53164,0, 0, 10000
16, 16, 1110832,319745,0, 0, 10002
16, 16, 1112211,311927,0, 0, 10000
16, 16, 1224795,336198,0, 0, 10000
16, 16, 1140137,334681,0, 0, 10000
16, 16, 1336762,285094,0, 0, 10000
32, 32, 750507,1239858,0, 0, 10001
32, 32, 758782,1276996,0, 0, 10001
32, 32, 716187,1227835,0, 0, 10001
32, 32, 825040,1056601,0, 0, 10002
32, 32, 780762,1185875,0, 0, 10001
64, 64, 321668,1857080,0, 0, 10010
64, 64, 222420,1802453,0, 0, 10012
64, 64, 360403,1827156,0, 0, 10008
64, 64, 344751,1810363,0, 0, 10009
64, 64, 270292,1709971,0, 0, 10008
